AY193196	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AY193126	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AY193146	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AY193131	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AJ292684	Bacteria;candidate_division WPS-2;candidate_division WPS-2_incertae_sedis;candidate_division WPS-2_incertae_sedis;candidate_division WPS-2_incertae_sedis;WPS-2_genera_incertae_sedis;
FR733677	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae_1;Clostridium_sensu stricto;
GU295939	Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Jeotgalicoccus;
GU440754	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;
HQ698842	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;
HE996968	Bacteria;Bacillota;Bacilli;Caryophanales;Sporolactobacillaceae;Alkalicoccus;
GU583651	Bacteria;Bacillota;Bacilli;Caryophanales;Sporolactobacillaceae;Alkalicoccus;
D88520	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium;
AB015577	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
M58468	Bacteria;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum;
M75080	Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;
AF507892	Bacteria;candidate_division ZB3;candidate_division ZB3_incertae_sedis;candidate_division ZB3_incertae_sedis;candidate_division ZB3_incertae_sedis;ZB3_genera_incertae_sedis;
DQ444975	Bacteria;Bacillota;Bacilli;Caryophanales;Alicyclobacillaceae;Tumebacillus;
HE997061	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
JN000316	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Compostimonas;
AB021370	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
AB021385	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Vogesella;
L24105	Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Mycoplasmopsis;
AJ241003	Bacteria;Acidobacteriota;Acidobacteria_Gp10;Acidobacteria_Gp10_incertae_sedis;Acidobacteria_Gp10_incertae_sedis;Gp10;
Y07784	Archaea;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Stetteria;
AB121976	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zobellia;
AF001963	Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Anoxybacillus;
AY179329	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;
AY337273	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium;
AB073132	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;
AB100840	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cellulophaga;
AJ420008	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae_1;Clostridium_sensu stricto;
AJ430344	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;
AJ440996	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
AJ441080	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;
